,ftm,home,opponent,Age_x,#days_x,BA,OBP,SLG,OPS,ERA,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,throws,bats,opp_hand,VAL
5507,Tampa Bay Rays,0,Boston Red Sox,30.0,3.0,0.244,0.33299999999999996,0.39,0.723,2.54,0.0,111.0,436.0,63%,22%,10%,44%,21%,6%,1.0590000000000002,0.25,8.6,3.38,R,R,False,0.0
5508,Kansas City Royals,0,Chicago White Sox,24.0,0.0,0.182,0.258,0.307,0.565,7.27,0.0,38.0,129.0,63%,18%,12%,31%,15%,8%,1.1540000000000001,0.13,6.2,1.5,R,L,True,2.0
5509,Toronto Blue Jays,0,New York Yankees,29.0,0.0,0.255,0.284,0.42200000000000004,0.706,3.12,1.0,210.0,823.0,66%,18%,12%,29%,25%,10%,1.0,0.262,8.8,4.25,R,R,False,8.0
5510,Oakland Athletics,1,Houston Astros,26.0,1.0,0.24600000000000002,0.33,0.41700000000000004,0.746,2.65,1.0,666.0,2735.0,68%,18%,14%,30%,24%,13%,0.9309999999999999,0.271,11.8,7.69,R,R,False,0.0
5511,San Diego Padres,1,Arizona D'Backs,28.0,0.0,0.253,0.308,0.342,0.649,4.25,0.0,245.0,845.0,65%,14%,11%,73%,15%,2%,1.298,0.28800000000000003,6.1,2.11,R,R,False,0.0
5512,Oakland Athletics,1,Houston Astros,27.0,0.0,0.257,0.317,0.455,0.772,2.65,1.0,666.0,2735.0,68%,18%,14%,30%,24%,13%,0.9309999999999999,0.271,11.8,7.69,R,R,False,0.0
5513,New York Mets,0,Philadelphia Phillies,27.0,0.0,0.23399999999999999,0.34,0.392,0.732,5.9,0.0,133.0,515.0,63%,14%,12%,48%,26%,7%,1.5859999999999999,0.341,9.0,2.23,R,R,False,16.0
5514,Pittsburgh Pirates,1,Chicago Cubs,26.0,0.0,0.24600000000000002,0.337,0.48700000000000004,0.8240000000000001,3.13,0.0,197.0,874.0,64%,15%,11%,37%,30%,7%,1.37,0.282,11.7,2.0,L,L,False,12.0
5515,Minnesota Twins,1,Detroit Tigers,24.0,0.0,0.268,0.33,0.402,0.732,3.93,0.0,205.0,785.0,62%,15%,9%,48%,23%,9%,1.1320000000000001,0.245,5.9,2.36,R,S,True,7.0
5516,Arizona D'Backs,0,San Diego Padres,30.0,0.0,0.27899999999999997,0.336,0.527,0.863,2.16,0.0,202.0,824.0,66%,13%,16%,44%,26%,9%,0.98,0.282,12.6,5.38,R,R,False,19.0
5517,Texas Rangers,1,Los Angeles Angels,25.0,0.0,0.256,0.33799999999999997,0.457,0.794,4.76,0.0,305.0,1165.0,64%,20%,11%,44%,27%,8%,1.357,0.306,10.2,2.93,R,S,True,5.0
5518,Texas Rangers,1,Los Angeles Angels,25.0,0.0,0.256,0.33799999999999997,0.457,0.794,4.76,0.0,305.0,1165.0,64%,20%,11%,44%,27%,8%,1.357,0.306,10.2,2.93,R,S,True,5.0
5519,Los Angeles Dodgers,0,Seattle Mariners,27.0,2.0,0.268,0.327,0.467,0.794,15.0,0.0,17.0,64.0,55%,16%,0%,29%,14%,29%,2.333,0.308,0.0,0.0,R,R,False,17.0
5520,Los Angeles Angels,0,Texas Rangers,38.0,0.0,0.249,0.29,0.419,0.71,7.01,0.0,410.0,1548.0,64%,16%,10%,38%,28%,7%,1.729,0.359,7.5,2.03,L,R,True,2.0
5521,Los Angeles Angels,0,Texas Rangers,38.0,0.0,0.249,0.29,0.419,0.71,7.01,0.0,410.0,1548.0,64%,16%,10%,38%,28%,7%,1.729,0.359,7.5,2.03,L,R,True,2.0
5522,Philadelphia Phillies,1,New York Mets,25.0,0.0,0.34600000000000003,0.37,0.5,0.87,0.0,0.0,11.0,42.0,64%,21%,14%,50%,0%,17%,1.0,0.33299999999999996,12.0,4.0,L,S,True,3.0
5524,Cleveland Indians,1,Baltimore Orioles,25.0,0.0,0.295,0.408,0.616,1.024,5.98,0.0,182.0,724.0,64%,12%,18%,46%,31%,6%,1.5490000000000002,0.381,12.8,2.76,L,S,True,9.0
5525,Cleveland Indians,1,Baltimore Orioles,25.0,0.0,0.295,0.408,0.616,1.024,5.98,0.0,182.0,724.0,64%,12%,18%,46%,31%,6%,1.5490000000000002,0.381,12.8,2.76,L,R,True,9.0
5526,Philadelphia Phillies,1,New York Mets,30.0,0.0,0.304,0.348,0.502,0.85,0.0,0.0,11.0,42.0,64%,21%,14%,50%,0%,17%,1.0,0.33299999999999996,12.0,4.0,L,R,True,5.0
5527,Miami Marlins,0,Washington Nationals,27.0,0.0,0.281,0.34299999999999997,0.486,0.8290000000000001,5.81,1.0,118.0,418.0,68%,17%,11%,28%,26%,9%,1.443,0.35700000000000004,7.9,23.0,,R,True,23.0
5528,Houston Astros,0,Oakland Athletics,31.0,0.0,0.242,0.315,0.401,0.716,1.6,0.0,240.0,908.0,64%,14%,14%,48%,23%,7%,1.016,0.22899999999999998,9.4,2.5,R,L,True,0.0
5529,Washington Nationals,1,Miami Marlins,28.0,0.0,0.29100000000000004,0.35200000000000004,0.49700000000000005,0.85,4.5,2.0,572.0,2218.0,63%,15%,9%,52%,21%,5%,1.225,0.292,7.0,2.77,R,R,False,0.0
5530,San Diego Padres,1,Arizona D'Backs,26.0,0.0,0.244,0.304,0.484,0.7879999999999999,4.25,0.0,245.0,845.0,65%,14%,11%,73%,15%,2%,1.298,0.28800000000000003,6.1,2.11,R,R,False,23.0
5531,San Diego Padres,1,Arizona D'Backs,20.0,0.0,0.235,0.287,0.451,0.738,4.25,0.0,245.0,845.0,65%,14%,11%,73%,15%,2%,1.298,0.28800000000000003,6.1,2.11,R,R,False,0.0
5532,Detroit Tigers,0,Minnesota Twins,23.0,0.0,0.226,0.244,0.268,0.512,3.42,1.0,209.0,813.0,67%,22%,11%,46%,27%,6%,1.101,0.315,10.3,4.29,L,S,True,3.0
5533,Washington Nationals,1,Miami Marlins,34.0,1.0,0.255,0.335,0.49700000000000005,0.8320000000000001,4.5,2.0,572.0,2218.0,63%,15%,9%,52%,21%,5%,1.225,0.292,7.0,2.77,R,R,False,0.0
5534,Baltimore Orioles,0,Cleveland Indians,27.0,5.0,0.22699999999999998,0.28800000000000003,0.42,0.708,5.51,0.0,199.0,758.0,68%,18%,8%,62%,19%,3%,1.204,0.295,6.8,9.0,R,R,False,3.0
5535,Miami Marlins,0,Washington Nationals,26.0,0.0,0.231,0.27,0.397,0.6679999999999999,5.81,1.0,118.0,418.0,68%,17%,11%,28%,26%,9%,1.443,0.35700000000000004,7.9,23.0,,L,True,23.0
